,Entity,Code,Year,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_very_comfortable__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_somewhat_comfortable__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_dont_know_refused__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_not_at_all_comfortable__gender_all__age_group_all,very_comfortable and somewhat_comfortable
72,Mongolia,MNG,2020,17.31226,48.45552,5.515141,28.71708,65.76778
73,Montenegro,MNE,2020,13.393899,31.787676,13.795101,41.023323,45.181575
74,Morocco,MAR,2020,55.639908,23.061222,15.465333,5.833535,78.70113
75,Myanmar,MMR,2020,19.16524,59.337543,2.9636216,18.533594,78.502783
76,Namibia,NAM,2020,13.242371,27.684067,5.193536,53.880024,40.926438
77,Nepal,NPL,2020,31.990816,49.90607,5.29038,12.812736,81.896886
78,Netherlands,NLD,2020,19.575184,53.504307,1.518021,25.402487,73.079491
79,New Zealand,NZL,2020,7.616393,57.034107,4.095071,31.254427,64.6505
80,Nicaragua,NIC,2020,26.092758,44.1951,0.71425205,28.99789,70.287858
81,Nigeria,NGA,2020,11.506056,39.891903,8.298115,40.30393,51.397959
82,North America,,2020,10.888448,54.365005,1.4533436,33.293205,65.253453
83,North Macedonia,MKD,2020,19.263893,31.62692,9.234596,39.874588,50.890813
84,Norway,NOR,2020,9.8570595,50.22639,2.1873496,37.7292,60.0834495
85,Oceania,,2020,7.2630644,59.751015,2.1389225,30.847002,67.0140794
86,Paraguay,PRY,2020,18.502247,40.165268,7.695317,33.63717,58.667515
87,Peru,PER,2020,25.913599,50.25336,1.0470331,22.786009,76.166959
88,Philippines,PHL,2020,28.208256,42.651817,0.62627137,28.513657,70.860073
89,Poland,POL,2020,17.411058,45.219593,2.160439,35.20891,62.630651
90,Portugal,PRT,2020,24.664425,35.54384,5.605133,34.1866,60.208265
91,Romania,ROU,2020,19.265442,32.635098,13.709916,34.389545,51.90054
92,Russia,RUS,2020,9.941295,50.387234,3.9582176,35.713253,60.328529
93,Saudi Arabia,SAU,2020,49.74626,38.46969,4.32543,7.458618,88.21595
94,Senegal,SEN,2020,23.88905,27.912539,7.138096,41.060318,51.801589
95,Serbia,SRB,2020,21.168327,30.9866,10.981666,36.863403,52.154927
96,Slovakia,SVK,2020,24.664183,48.59733,6.263139,20.47535,73.261513
97,Slovenia,SVN,2020,16.971712,47.311546,4.7963953,30.920343,64.283258
98,South Africa,ZAF,2020,21.583582,31.156857,11.646056,35.613506,52.740439
99,South America,,2020,25.215714,44.10983,1.887494,28.78697,69.325544
100,South Korea,KOR,2020,9.0005245,43.83575,2.651395,44.512325,52.8362745
101,Spain,ESP,2020,22.522491,40.443344,2.839818,34.194344,62.965835
102,Sri Lanka,LKA,2020,28.208971,46.69289,10.244259,14.853881,74.901861
