,Unnamed: 0,Entity,Code,Year,Share - Question: mh3b - How much science helps to treat anxiety or depression - Answer: A lot - Gender: all - Age group: all,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID
23630,23630,Hungary,HUN,2021,,33583.785,9707848.0,
23887,23887,Iceland,ISL,2021,,53135.953,372649.0,
24153,24153,India,IND,2021,,6677.185,1414203889.0,
24414,24414,Indonesia,IDN,2021,,11859.437,276758056.0,
24675,24675,Iran,IRN,2021,,15004.6875,88455491.0,
24936,24936,Iraq,IRQ,2021,,8786.582,43071210.0,
25197,25197,Ireland,IRL,2021,,104671.875,5028430.0,
25500,25500,Isle of Man,IMN,2021,,,84121.0,
25529,25529,Israel,ISR,2021,,42379.156,8942925.0,
25795,25795,Italy,ITA,2021,,42562.555,59729354.0,
26056,26056,Jamaica,JAM,2021,,9605.191,2837682.0,
26309,26309,Japan,JPN,2021,,41258.71,125679341.0,
26612,26612,Jersey,JEY,2021,,,103337.0,
26646,26646,Jordan,JOR,2021,,9380.045,11066358.0,
26907,26907,Kazakhstan,KAZ,2021,,26110.53,19743607.0,
27168,27168,Kenya,KEN,2021,,4745.637,53219165.0,
27434,27434,Kiribati,KIR,2021,,2007.987,128386.0,
27641,27641,Kosovo,OWID_KOS,2021,,11884.182,1741449.0,
27733,27733,Kuwait,KWT,2021,,45579.688,4360749.0,
27996,27996,Kyrgyzstan,KGZ,2021,,4910.0864,6820483.0,
28257,28257,Laos,LAO,2021,,7846.975,7453191.0,
28518,28518,Latin America and Caribbean (WB),,2021,,15956.927,,
28591,28591,Latin America and the Caribbean (UN),,2021,,,650465295.0,
28620,28620,Latvia,LVA,2021,,31833.842,1885592.0,
28886,28886,Lebanon,LBN,2021,,12986.913,5718127.0,
29147,29147,Lesotho,LSO,2021,,2239.3052,2261549.0,
29398,29398,Liberia,LBR,2021,,1423.2296,5259326.0,
29660,29660,Libya,LBY,2021,,20273.88,7135180.0,
30157,30157,Liechtenstein,LIE,2021,,,39062.0,
30186,30186,Lithuania,LTU,2021,,39432.402,2794489.0,
30452,30452,Low-income countries,,2021,,1921.8851,698215270.0,
30717,30717,Lower-middle-income countries,,2021,,6865.1377,3180608875.0,
30982,30982,Luxembourg,LUX,2021,,118510.0,640276.0,
31243,31243,Macao,MAC,2021,,66820.91,694404.0,
31329,31329,Madagascar,MDG,2021,,1482.3761,29691087.0,
31590,31590,Malawi,MWI,2021,,1491.1337,20047263.0,
31851,31851,Malaysia,MYS,2021,,26407.316,34282405.0,
32107,32107,Maldives,MDV,2021,,18757.78,516162.0,
32336,32336,Mali,MLI,2021,,2120.6233,22388638.0,
32597,32597,Malta,MLT,2021,,46598.96,524383.0,
32855,32855,Marshall Islands,MHL,2021,,5976.0303,41386.0,
33162,33162,Martinique,MTQ,2021,,,353285.0,
33196,33196,Mauritania,MRT,2021,,5142.2812,4734875.0,
33457,33457,Mauritius,MUS,2021,,20915.217,1279627.0,
33757,33757,Mayotte,MYT,2021,,,294431.0,
33791,33791,Mexico,MEX,2021,,19617.76,127648152.0,
34052,34052,Micronesia (country),FSM,2021,,3320.9114,111636.0,
34276,34276,Middle East and North Africa (WB),,2021,,16066.921,,
34309,34309,Middle-income countries,,2021,,11907.978,,
34337,34337,Moldova,MDA,2021,,13703.939,3023780.0,
34793,34793,Monaco,MCO,2021,,,38548.0,
34827,34827,Mongolia,MNG,2021,,11668.431,3339678.0,
35081,35081,Montenegro,MNE,2021,,20710.535,603854.0,
35388,35388,Montserrat,MSR,2021,,,4505.0,
35422,35422,Morocco,MAR,2021,,8065.986,36954442.0,
35683,35683,Mozambique,MOZ,2021,,1231.8641,31707797.0,
35944,35944,Myanmar,MMR,2021,,4113.8936,53387102.0,
36205,36205,Namibia,NAM,2021,,9208.583,2810553.0,
36452,36452,Nauru,NRU,2021,,10989.622,11726.0,
36690,36690,Nepal,NPL,2021,,3853.6802,29475018.0,
36951,36951,Netherlands,NLD,2021,,57334.703,17730564.0,
37403,37403,New Caledonia,NCL,2021,,,285226.0,
37437,37437,New Zealand,NZL,2021,,44041.902,5107696.0,
37676,37676,Nicaragua,NIC,2021,,5692.035,6644745.0,
37937,37937,Niger,NER,2021,,1186.53,24502144.0,
38198,38198,Nigeria,NGA,2021,,4922.6323,218529285.0,
38499,38499,Niue,NIU,2021,,,1836.0,
38765,38765,North America,,2021,,,600876352.0,
38799,38799,North America (WB),,2021,,62061.168,,
39059,39059,North Korea,PRK,2021,,,26232531.0,
39093,39093,North Macedonia,MKD,2021,,16708.598,1851109.0,
39394,39394,Northern America (UN),,2021,,,378741971.0,
39470,39470,Northern Mariana Islands,MNP,2021,,,47003.0,
39504,39504,Norway,NOR,2021,,65915.53,5408081.0,
39996,39996,Oceania,,2021,,,44558538.0,
40070,40070,Oceania (UN),,2021,,,44558212.0,
40104,40104,Oman,OMN,2021,,34294.766,4500427.0,
40366,40366,Pakistan,PAK,2021,,5233.4595,239477805.0,
40618,40618,Palau,PLW,2021,,14112.668,17809.0,
40848,40848,Palestine,PSE,2021,,5641.0444,5185341.0,
41076,41076,Panama,PAN,2021,,30416.793,4345410.0,
41337,41337,Papua New Guinea,PNG,2021,,3637.9133,10012899.0,
41598,41598,Paraguay,PRY,2021,,13676.391,6684184.0,
41859,41859,Peru,PER,2021,,12533.842,33155883.0,
42120,42120,Philippines,PHL,2021,,8095.5796,113100946.0,
42382,42382,Poland,POL,2021,,34944.04,38040304.0,
42643,42643,Portugal,PRT,2021,,33636.44,10390956.0,
42904,42904,Puerto Rico,PRI,2021,,32766.666,3253210.0,
43013,43013,Qatar,QAT,2021,,92895.34,2814989.0,
43352,43352,Reunion,REU,2021,,,868084.0,
43386,43386,Romania,ROU,2021,,30946.277,19248159.0,
43647,43647,Russia,RUS,2021,,28057.031,145836172.0,
43908,43908,Rwanda,RWA,2021,,2237.514,13355260.0,
44213,44213,Saint Barthelemy,BLM,2021,,,10790.0,
44299,44299,Saint Helena,SHN,2021,,,5415.0,
44333,44333,Saint Kitts and Nevis,KNA,2021,,26460.477,46786.0,
44580,44580,Saint Lucia,LCA,2021,,13045.966,178540.0,
44883,44883,Saint Martin (French part),MAF,2021,,,29986.0,
44992,44992,Saint Pierre and Miquelon,SPM,2021,,,5802.0,
45026,45026,Saint Vincent and the Grenadines,VCT,2021,,13839.464,102848.0,
